                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4733,                 1.5317,                 1.4805,                0.79554,                0.72736,                0.79801,                0.45468,                 1.3346,                0.84982,                 1.3625,              0.0033307,              0.0033307,              0.0033307
                      2,                 1.3612,                 1.0205,                 1.3388,                0.78539,                0.70557,                0.76823,                 0.4409,                 1.3737,                0.90909,                 1.3493,              0.0065981,              0.0065981,              0.0065981
                      3,                 1.4079,                 1.0965,                 1.3777,                0.72856,                0.67435,                0.72179,                0.41404,                 1.3732,                 1.0213,                 1.3794,              0.0097995,              0.0097995,              0.0097995
                      4,                 1.4378,                 1.1613,                 1.4139,                0.76756,                0.65073,                0.73096,                0.42586,                  1.359,                0.98338,                 1.4262,               0.009703,               0.009703,               0.009703
                      5,                 1.4179,                 1.1058,                 1.4015,                0.77527,                0.69736,                0.75875,                0.44875,                 1.3229,                0.91044,                 1.3866,               0.009604,               0.009604,               0.009604
                      6,                 1.3844,                 1.0488,                 1.3852,                0.76709,                 0.7321,                 0.7804,                0.45445,                 1.3411,                0.91598,                 1.4246,               0.009505,               0.009505,               0.009505
                      7,                 1.3749,                 1.0214,                 1.3802,                0.79612,                0.73996,                0.80308,                0.47552,                 1.3252,                0.84982,                 1.3763,               0.009406,               0.009406,               0.009406
                      8,                 1.3484,                0.99608,                 1.3568,                 0.8085,                0.76054,                0.81713,                0.48869,                 1.2949,                0.82028,                 1.3733,               0.009307,               0.009307,               0.009307
                      9,                 1.3223,                0.96359,                 1.3463,                0.77297,                0.75822,                0.79597,                0.48516,                 1.2626,                0.82441,                 1.3452,               0.009208,               0.009208,               0.009208
                     10,                 1.3196,                0.94346,                  1.336,                0.81805,                0.78624,                0.83732,                0.51639,                 1.2566,                0.76298,                 1.3318,               0.009109,               0.009109,               0.009109
                     11,                  1.293,                0.91983,                 1.3218,                0.82024,                0.79055,                0.83524,                 0.5157,                 1.2404,                0.76429,                 1.3267,                0.00901,                0.00901,                0.00901
                     12,                 1.2873,                0.90704,                 1.3219,                0.80769,                0.78641,                0.82667,                0.51183,                 1.2509,                0.76992,                 1.3409,               0.008911,               0.008911,               0.008911
                     13,                 1.2744,                0.89022,                 1.3168,                0.82686,                0.79728,                 0.8447,                0.52787,                  1.228,                0.73604,                 1.3211,               0.008812,               0.008812,               0.008812
                     14,                 1.2633,                0.88603,                 1.3134,                   0.81,                0.78838,                0.83854,                0.52233,                 1.2441,                0.75161,                 1.3297,               0.008713,               0.008713,               0.008713
                     15,                 1.2562,                0.86281,                 1.2981,                0.83771,                0.79668,                0.85352,                0.53581,                 1.2151,                 0.7219,                 1.3051,               0.008614,               0.008614,               0.008614
                     16,                 1.2559,                 0.8632,                 1.3008,                0.83091,                0.78561,                0.84633,                0.53469,                 1.2154,                0.73236,                 1.3343,               0.008515,               0.008515,               0.008515
                     17,                 1.2525,                0.85042,                  1.289,                0.83107,                0.78693,                0.84971,                0.53305,                 1.2212,                0.70712,                 1.3102,               0.008416,               0.008416,               0.008416
                     18,                 1.2369,                 0.8322,                 1.2902,                0.83423,                0.80292,                0.85386,                0.53233,                 1.2234,                0.71784,                 1.3131,               0.008317,               0.008317,               0.008317
                     19,                 1.2268,                0.82356,                 1.2864,                0.83744,                0.78951,                0.85105,                0.53862,                 1.1998,                0.69995,                 1.2972,               0.008218,               0.008218,               0.008218
